sample_id,num_0,num_1,num_2,num_3,num_4,cat_0,cat_1,cat_2,label
sample_44_00000,1.4459627328942797,0.10230513964028178,0.32675277776408757,1.136462394642464,0.824243935767969,1,1,2,4.120844271389652
sample_44_00001,0.5789565104448382,-0.37917058372073026,-1.0188735508398639,0.37616889619326804,-0.5119595095488515,0,0,0,1.3682538586518316
sample_44_00002,0.8272348654990747,0.21125444805077526,-0.7452943516631282,0.2677252628411601,0.7091804748044623,1,2,2,2.0683088276476003
sample_44_00003,0.1775201162813649,-0.7825690979470793,0.26232899967310325,0.357001704721309,0.8242873759764425,1,1,1,3.0065549775857345
sample_44_00004,0.722034422659204,-0.9082575129676725,-0.4977713562029589,0.6057131279533329,-1.6976786020842596,1,3,0,2.360434200986494
sample_44_00005,0.7772288109823667,-0.8394498883349977,-0.4217756438844333,1.4433399342491566,-0.06448288782689197,2,3,1,3.8015243994281356
sample_44_00006,-0.30187914508096503,0.2814131031772033,-0.09394490048932266,-0.6259090209943582,0.24985754536975244,3,3,1,0.2344227995077017
sample_44_00007,2.136829833930069,0.9196307357367628,0.43790573361922813,0.25728420615046677,0.7977890697790292,0,3,1,2.7730080446582854
sample_44_00008,0.6240881317831657,-0.8567355971305933,0.5070579757016108,0.052237921489733614,1.7158566820432466,2,2,2,4.594049452993453
sample_44_00009,-0.21107603284996324,1.2517617977519637,-1.1556848411709155,0.3129126749262291,-0.7114407717623863,1,3,2,-3.1249271345122067
sample_44_00010,-0.8773788065405665,0.78532272478865,-0.9831428006151512,-0.1381096183332893,-0.7019839861971033,3,2,3,-2.3307114564722533
sample_44_00011,0.3959208675416461,0.2776186708645915,-2.164781087673153,0.7012876668716292,-0.6093881964267575,0,2,0,-0.006469604329613382
sample_44_00012,2.007804255918723,0.8842422623131226,0.9566515018847626,-2.3525533092408057,1.753712794966784,2,2,3,3.9695681785096246
sample_44_00013,0.06708310924506602,-1.3003327469693653,0.33223357603025605,1.2986952624944872,-1.5423138619238046,2,2,0,1.9846768808257162
sample_44_00014,1.0691512188841281,-0.2941877907621263,-0.5310421138750543,-0.38991965981720655,-0.7861305125732092,2,0,1,3.0552699512551094
sample_44_00015,0.21933300414694584,0.2671874734516472,1.0407786232958904,1.391122156978565,-0.29251659629470006,3,2,3,0.6426315792213433
sample_44_00016,1.0738755335889276,-1.1147424236014953,0.642837966698953,-1.0519619429311695,-0.5298651471801137,1,0,0,3.5046880358624675
sample_44_00017,0.6092533496496614,-0.7017816425682831,0.4960965649559546,-1.4025355779361648,-0.6759957523318395,2,3,2,2.3615470611228275
sample_44_00018,0.534899955605962,1.4759085901813076,-1.1119346494295137,1.546072293208044,0.2682158780223617,1,1,3,-1.0009894192814932
sample_44_00019,2.21137945931288,-0.2835147946468663,-0.4809842214414824,0.3257771723584655,-1.0399677524017594,2,0,1,5.178200596662874
sample_44_00020,0.13200080388498667,-0.05275486561004682,1.2958707950966173,0.3408624994283628,-1.209283006250905,1,3,0,0.23672471251392152
sample_44_00021,-1.2649169622567573,-0.9227772730472964,-1.9950950066250814,-2.079734569898401,2.0648931814747438,1,2,1,0.30211777375338894
sample_44_00022,-0.8023795175822284,1.2619389086536796,-0.7148639014483964,-0.3874130488932405,-1.6579696265176016,1,2,3,-5.322928777460537
sample_44_00023,1.2425222410102619,-0.3745855409070993,1.6389580354533575,-0.6766924278792744,1.267286254331846,0,1,1,4.113608360823316
sample_44_00024,1.4657032939292025,-1.4611307572479162,0.45510605824343703,-1.0011088536090944,-1.1242171949224766,0,2,3,2.6248896667501675
sample_44_00025,0.12451012114052001,0.8027057266852977,1.331091921893474,-0.32997866075627974,0.9784733496202408,0,3,0,0.21635473744046946
